,Taxid,Species,Genome,Proteome,Tr.level,Tr.primary,Tr.direct.contact,Tr.faecal.oral,Tr.food.borne,Tr.respiratory,Tr.vector,Tr.vertical,Tr.multiple,Tp.primary,Tp.cardiac,Tp.circulatory,Tp.endocrine,Tp.gastrointestinal,Tp.hepatic,Tp.joints,Tp.muscular,Tp.neural,Tp.renal,Tp.reproductive,Tp.respiratory,Tp.sensory,Tp.skin,Tp.vascular,Tp.multiple
94,3052426,Orthobunyavirus nyandoense,"NC_034492.1,NC_034491.1,NC_034481.1","YP_009362066.1,YP_009362065.1,YP_009362052.1,YP_009362053.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3052428,Orthobunyavirus oribocaense,"NC_034475.1,NC_034488.1,NC_034476.1","YP_009362043.1,YP_009362044.1,YP_009362045.1,YP_009362062.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3052429,Orthobunyavirus oropoucheense,"NC_005777.1,NC_005776.1,NC_005775.1","NP_982303.1,NP_982305.1,NP_982306.1,NP_982304.1",3,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
97,3052431,Orthobunyavirus patoisense,"NC_043689.1,NC_043690.1,NC_043691.1","YP_009667040.1,YP_009667041.1,YP_009667042.1,YP_009667043.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3052440,Orthobunyavirus shuniense,"ON920928.1,ON920929.1,ON920930.1","UXE46267.1,UXE46268.1,UXE46269.1,UXE46270.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3052444,Orthobunyavirus tacaiumaense,"MK896460.1,MK896461.1,MK896462.1","QLA46887.1,QLA46888.1,QLA46889.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3052456,Orthobunyavirus wyeomyiae,"NC_039186.1,NC_039187.1,NC_039188.1","YP_009512925.1,YP_009512926.1,YP_009512927.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,3052458,Orthoebolavirus bundibugyoense,NC_014373.1,"YP_003815432.1,YP_003815433.1,YP_003815434.1,YP_003815435.1,YP_003815436.1,YP_003815437.1,YP_003815438.1,YP_003815439.1,YP_003815440.1",3,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,systemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3052459,Orthoebolavirus restonense,KY798006.1,"ARU80312.1,ARU80313.1,ARU80314.1,ARU80316.1,ARU80315.1,ARU80317.1,ARU80318.1,ARU80319.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3052460,Orthoebolavirus sudanense,EU338380.1,"ABY75321.1,ABY75322.1,ABY75323.1,ABY75325.1,ABY75324.1,ABY75326.1,ABY75327.1,ABY75328.1",3,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,systemic,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1
104,3052461,Orthoebolavirus taiense,NC_014372.1,"YP_003815423.1,YP_003815424.1,YP_003815425.1,YP_003815426.1,YP_003815427.1,YP_003815428.1,YP_003815429.1,YP_003815430.1,YP_003815431.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,systemic,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1
105,3052462,Orthoebolavirus zairense,KJ660346.2,"AHX24646.1,AHX24647.1,AHX24648.1,AHX24649.2,AHX24650.1,AHX24651.1,AHX24652.1,AHX24653.1,AHX24654.2",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,systemic,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1
106,3047375,Orthoflavivirus aroaense,NC_009026.2,YP_001040004.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3047385,Orthoflavivirus bagazaense,NC_012534.1,YP_002790883.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3047395,Orthoflavivirus banziense,NC_043110.1,YP_009222007.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3048300,Orthoflavivirus bravoense,JQ582840.1,AFG73004.1,2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3052463,Orthoflavivirus cacipacoreense,KF917536.1,AIU94740.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3052464,Orthoflavivirus denguei,JQ287663.1,AEX65548.1,4,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,systemic,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1
112,3047817,Orthoflavivirus edgehillense,NC_030289.1,YP_009256192.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3052465,Orthoflavivirus encephalitidis,MN114635.1,QMS55021.1,2,vector,1.0,1.0,1.0,0.0,1.0,0.0,1.0,neural,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
114,3046277,Orthoflavivirus flavi,MK583170.1,QHB50159.1,4,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,systemic,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
115,3047837,Orthoflavivirus gadgetsense,NC_033723.1,YP_009345034.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,3052466,Orthoflavivirus ilheusense,MF461639.1,ATG32103.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,3048158,Orthoflavivirus japonicum,HM596272.1,ADX31663.1,3,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neural,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
118,3048168,Orthoflavivirus kokoberaorum,NC_009029.2,YP_001040007.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,3048170,Orthoflavivirus kyasanurense,JF416957.1,AFF18426.1,2,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
120,3048175,Orthoflavivirus langatense,NC_003690.1,NP_620108.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,3052468,Orthoflavivirus louisense,EU566860.1,ACB58159.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
122,3048184,Orthoflavivirus loupingi,KJ495985.1,AHY99586.1,2,direct contact,1.0,0.0,0.0,0.0,1.0,0.0,1.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
123,3048215,Orthoflavivirus murrayense,KX229766.1,APW77688.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,3048448,Orthoflavivirus nilense,MH021189.1,AVP26556.1,3,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neural,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
125,3048225,Orthoflavivirus ntayaense,JX236040.3,AFS89612.2,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,3048233,Orthoflavivirus omskense,NC_005062.1,NP_878909.1,2,direct contact,1.0,0.0,0.0,1.0,1.0,0.0,1.0,vascular,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
127,3048287,Orthoflavivirus powassanense,EU670438.1,ACD88752.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
128,3048360,Orthoflavivirus tembusu,KJ958533.1,AIN44012.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,3048440,Orthoflavivirus ugandaense,NC_033698.1,YP_009344968.1,2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3048443,Orthoflavivirus usutuense,HM569263.1,AEF13245.1,3,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,3048447,Orthoflavivirus wesselsbronense,JN226796.1,AFK88571.1,2,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,3048459,Orthoflavivirus zikaense,NC_035889.1,YP_009428568.1,4,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1980456,Orthohantavirus andesense,"NC_003468.2,NC_003467.2","NP_604473.1,NP_604472.1",3,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
134,3052470,Orthohantavirus bayoui,"NC_038299.1,NC_038300.1,NC_038298.1","YP_009505595.1,YP_009505596.1,YP_009505597.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
135,3052474,Orthohantavirus chocloense,"NC_038373.1,NC_038374.1","YP_009506069.1,YP_009506070.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
136,3052477,Orthohantavirus dobravaense,"MH251334.1,MH251335.1,MH251336.1","QBH69875.1,QBH69876.1,QBH69877.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,vascular,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
137,3052480,Orthohantavirus hantanense,"NC_005222.1,NC_005218.1,NC_005219.1","NP_941978.1,NP_941982.1,NP_941977.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,vascular,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
138,3052489,Orthohantavirus negraense,"JQ611712.1,JQ611713.1,JQ611714.1","AFH88145.1,AFH88146.1,AFH88147.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
139,3052490,Orthohantavirus nigrorivense,"NC_043073.1,NC_043074.1,NC_043075.1",,2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
140,3052493,Orthohantavirus puumalaense,"NC_005225.1,NC_005224.1,NC_005223.1","NP_941983.1,NP_941984.1,YP_004928150.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,vascular,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
141,3052496,Orthohantavirus sangassouense,"NC_034517.1,NC_034516.1,NC_034526.1","YP_009362094.1,YP_009362095.1,YP_009362101.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,3052498,Orthohantavirus seoulense,"MZ343375.1,MZ343376.1,MZ343377.1","QXT50473.1,QXT50474.1,QXT50475.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,vascular,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
143,3052499,Orthohantavirus sinnombreense,"NC_005215.1,NC_005216.1,NC_005217.1","NP_941975.1,YP_004928152.1,NP_941976.1,NP_941974.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
144,3052501,Orthohantavirus thailandense,"AM998806.1,AM998807.1,AM998808.2","CAQ53172.1,CAQ53173.1,CAQ53174.2",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,vascular,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
145,3052503,Orthohantavirus tulaense,"NC_005227.2,NC_005228.1,NC_005226.1","NP_942586.1,YP_004928153.1,YP_004928154.1,NP_942124.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,vascular,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
146,3052505,Orthomarburgvirus marburgense,NC_024781.1,"YP_009055222.1,YP_009055223.1,YP_009055224.1,YP_009055225.1,YP_009055226.1,YP_009055227.1,YP_009055228.1",3,direct contact,1.0,0.0,0.0,1.0,0.0,1.0,1.0,systemic,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1
147,3052514,Orthonairovirus dugbeense,"NC_004157.1,NC_004159.1,NC_004158.1","NP_690574.1,NP_690576.1,NP_690575.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,3052518,Orthonairovirus haemorrhagiae,"PP729064.1,PP729065.1,PP729066.1","XAF84303.1,XAF84304.1,XAF84305.1",3,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,systemic,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1
149,3052537,Orthonairovirus thiaforaense,"NC_039220.1,NC_039221.1,NC_039222.1","YP_009513191.1,YP_009513192.1,YP_009513193.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2956252,Orthopicobirnavirus hominis,"KJ663815.1,KJ663816.1","AHX00959.1,AHX00960.1",4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,3049954,Orthopneumovirus hominis,OR466341.1,"WNL51870.1,WNL51871.1,WNL51872.1,WNL51873.1,WNL51874.1,WNL51875.1,WNL51876.1,WNL51877.1,WNL51878.1,WNL51879.1,WNL51880.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,3052556,Orthorubulavirus hominis,MN306032.1,"QEG03838.1,QEG03839.1,QEG03840.1,QEG03841.1,QEG03842.1,QEG03843.1,QEG03844.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,3052557,Orthorubulavirus laryngotracheitidis,MH892405.1,"QBA30245.1,QBA30246.1,QBA30247.1,QBA30248.1,QBA30249.1,QBA30250.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,3052558,Orthorubulavirus mammalis,KX060176.1,"ANE10779.1,ANE10780.1,ANE10781.1,ANE10782.1,ANE10783.1,ANE10784.1,ANE10785.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
155,3052560,Orthorubulavirus parotitidis,MN630054.1,"QGP73018.1,QGP73019.1,QGP73020.1,QGP73021.1,QGP73022.1,QGP73023.1,QGP73024.1,QGP73025.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,systemic,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1
156,3052561,Orthorubulavirus simiae,NC_006428.1,"YP_138504.1,YP_138505.1,YP_138506.1,YP_138507.1,YP_138508.1,YP_138509.1,YP_138510.1",2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,40058,Orungo virus,"NC_038604.1,NC_038605.1,NC_038606.1,NC_038607.1,NC_038608.1,NC_038609.1,NC_038610.1,NC_038611.1,NC_038612.1,NC_038613.1","YP_009507718.1,YP_009507719.1,YP_009507720.1,YP_009507721.1,YP_009507722.1,YP_009507723.1,YP_009507724.1,YP_009507725.1,YP_009507726.1,YP_009507727.1,YP_009507728.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,3052600,Pararubulavirus sosugaense,NC_025343.1,"YP_009094028.1,YP_009094029.1,YP_009094030.1,YP_009094031.1,YP_009094032.1,YP_009094033.1,YP_009094034.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,3052602,Pararubulavirus tiomanense,NC_004074.1,"NP_665864.1,NP_665865.1,NP_665866.1,NP_665867.1,NP_665868.1,NP_665869.1,NP_665870.1,NP_665871.1",2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1803956,Parechovirus A,ON497137.1,UQT65469.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
161,1803957,Parechovirus B,NC_003976.2,NP_647602.1,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1678143,Paslahepevirus balayani,LC055972.1,"BAT32882.1,BAT32883.1,BAT32884.1",4,faecal-oral,1.0,1.0,1.0,0.0,0.0,1.0,1.0,hepatic,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
163,3052610,Pegivirus platyrrhini,MN551062.1,QKY59672.1,4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,circulatory,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
164,3052619,Pestivirus bovis,NC_001461.1,NP_040937.1,2,,,,,,,,,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3052640,Phlebovirus candiruense,"NC_015373.1,NC_015374.1,NC_015375.1","YP_004347992.1,YP_004347993.1,YP_004347994.1,YP_004347995.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,3052676,Phlebovirus riftense,"NC_014396.1,NC_014395.1","YP_003848705.1,YP_003848706.1,YP_003848707.1",3,vector,1.0,0.0,0.0,1.0,1.0,0.0,1.0,systemic,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1
167,3052684,Phlebovirus toroense,"MK896481.1,MK896482.1,MK896483.1","QLA46846.1,QLA46847.1,QLA46848.1,QLA46849.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,60876,Pixuna virus,NC_038673.1,"YP_009507800.1,YP_009507801.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,194440,Primate T-lymphotropic virus 1,JX891479.1,"AGN03912.1,AGN03913.1,AGN03914.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,circulatory,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1
170,194441,Primate T-lymphotropic virus 2,LC440555.1,"BBH84748.1,BBH84749.1,BBH84750.1,BBH84751.1,BBH84752.1,BBH84753.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,circulatory,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
171,194443,Primate T-lymphotropic virus 3,GQ463602.1,"ADE43691.1,ADE43693.1,ADE43692.1,ADE43694.1,ADE43695.1,ADE43690.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,3049952,Respirovirus laryngotracheitidis,MH892403.1,"QBA30233.1,QBA30234.1,QBA30235.1,QBA30236.1,QBA30237.1,QBA30238.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173,3049953,Respirovirus pneumoniae,MN306039.1,"QEG03881.1,QEG03882.1,QEG03883.1,QEG03884.1,QEG03885.1,QEG03886.1,QEG03887.1,QEG03888.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,147711,Rhinovirus A,LC720410.1,BDP39231.1,4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,147712,Rhinovirus B,LC769226.1,BEI32416.1,4,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
176,463676,Rhinovirus C,JF317017.1,AEL31293.1,4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
177,332097,Rio Negro virus,NC_038674.1,"YP_009507802.1,YP_009507803.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,11029,Ross River virus,NC_075016.1,"YP_010775804.1,YP_010775805.1",3,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,circulatory,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
179,28875,Rotavirus A,"NC_011501.2,NC_011502.2,NC_011503.2,NC_011504.2,NC_011506.2,NC_011508.2,NC_011509.2,NC_011510.2,NC_011500.2,NC_011507.2,NC_011505.2","YP_002302220.1,YP_002302221.1,YP_002302222.1,YP_002302223.1,YP_002302226.1,YP_002302228.1,YP_002302229.1,YP_002302230.1,YP_002302219.1,YP_002302227.1,YP_002302224.1,YP_002302225.1",4,faecal-oral,1.0,1.0,0.0,0.0,0.0,1.0,1.0,gastrointestinal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
180,28876,Rotavirus B,"NC_021541.1,NC_021545.1,NC_021551.1,NC_021543.1,NC_021546.1,NC_021544.1,NC_021547.1,NC_021548.1,NC_021542.1,NC_021550.1,NC_021549.1","YP_008126843.1,YP_008126844.1,YP_008126845.1,YP_008126846.1,YP_008126847.1,YP_008126848.1,YP_008126849.1,YP_008126850.1,YP_008126851.1,YP_008126853.1,YP_008126854.1,YP_008126855.1,YP_008126852.1",4,faecal-oral,1.0,1.0,0.0,0.0,0.0,1.0,1.0,gastrointestinal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
181,36427,Rotavirus C,AJ549087.1,CAD70160.1,4,faecal-oral,1.0,1.0,0.0,0.0,0.0,1.0,1.0,gastrointestinal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
182,1348384,Rotavirus H,"NC_007548.1,NC_007549.1,NC_007551.1,NC_007550.1,NC_007552.1,NC_007553.1,NC_007555.1,NC_007554.1,NC_007556.1,NC_007557.1,NC_007558.1","YP_392499.1,YP_392500.1,YP_392495.1,YP_392496.1,YP_392490.1,YP_392498.1,YP_392491.1,YP_392492.1,YP_392493.1,YP_392494.1,YP_392497.1",3,faecal-oral,1.0,1.0,0.0,0.0,0.0,0.0,1.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,2846071,Rubivirus rubellae,NC_076948.1,"YP_010801281.1,YP_010801282.1",4,respiratory,0.0,0.0,0.0,1.0,0.0,1.0,0.0,viraemic,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1
184,1330524,Salivirus A,NC_012986.1,YP_003065643.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,1933189,Sandfly fever Naples phlebovirus,"HM566182.1,HM566183.1,HM566184.1","AEL29681.1,AEL29682.1,AEL29683.1,AEL29684.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,95342,Sapporo virus,NC_075724.1,"YP_010795723.1,YP_010795724.1,YP_010795725.1",4,faecal-oral,0.0,1.0,1.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,11033,Semliki Forest virus,MK280688.1,"QCW07560.1,QCW07561.1",3,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,694009,Severe acute respiratory syndrome-related coronavirus,NC_045512.2,"YP_009724389.1,YP_009725295.1,YP_009724390.1,YP_009724391.1,YP_009724392.1,YP_009724393.1,YP_009724394.1,YP_009724395.1,YP_009725318.1,YP_009724396.1,YP_009724397.2,YP_009725255.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
189,1933190,SFTS phlebovirus,"HQ642766.1,HQ642767.1,HQ642768.1","ADZ72975.1,ADZ72976.1,ADZ72977.1,ADZ72978.1",3,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,11642,Simian foamy virus,JQ867465.1,"AFX98093.1,AFX98094.1,AFX98095.1,AFX98096.1,AFX98097.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,11723,Simian immunodeficiency virus,NC_001549.1,"NP_687035.1,NP_054369.1,NP_054370.1,NP_054371.1,NP_054372.1,NP_054373.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,11034,Sindbis virus,MF409178.1,"AVN98165.1,AVN98166.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
193,11318,Thogotovirus dhoriense,"NC_034254.1,NC_034255.1,NC_034256.1,NC_034261.1,NC_034262.1,NC_034263.1","YP_009352873.1,YP_009352874.1,YP_009352875.1,YP_009352880.1,YP_009352881.1,YP_009352882.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194,11569,Thogotovirus thogotoense,"NC_006508.1,NC_006495.1,NC_006496.1,NC_006506.1,NC_006507.1,NC_006504.1","YP_145809.1,YP_145810.1,YP_145794.1,YP_145808.1,YP_145795.1,YP_145805.1,YP_145806.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
195,3052789,Thottimvirus thottapalayamense,"NC_010708.1,NC_010707.1,NC_010704.1","YP_001911121.1,YP_001911125.1,YP_001911124.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,1987018,Tibrovirus alphaekpoma,NC_038282.1,"YP_009505504.1,YP_009505505.1,YP_009505506.1,YP_009505507.1,YP_009505508.1,YP_009505509.1,YP_009505510.1,YP_009505511.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
